id,station_id,stop_id,station_name,stop_desc,run_number,route_id,destination_id,destination_name,route_direction_code,prediction_generated,expected_arrival,is_approaching,is_scheduled,is_fit,is_delayed
380,30177,30177,63rd,Service toward Howard,934,Red,30177,Howard,1,2012-10-23 20:28:03-05,2012-10-23 20:32:03-05,0,0,0,0
381,30192,30192,69th,Service toward 95th,830,Red,30192,95th/Dan Ryan,5,2012-10-23 20:28:48-05,2012-10-23 20:36:48-05,0,0,0,0
382,30192,30192,69th,Service toward 95th,943,Red,30192,95th/Dan Ryan,5,2012-10-23 20:28:41-05,2012-10-23 20:40:41-05,0,0,0,0
383,30192,30192,69th,Service toward 95th,828,Red,30192,95th/Dan Ryan,5,2012-10-23 20:28:19-05,2012-10-23 20:44:19-05,0,0,0,0
384,30192,30192,69th,Service toward 95th,925,Red,30192,95th/Dan Ryan,5,2012-10-23 20:28:49-05,2012-10-23 20:45:49-05,0,0,0,0
385,30191,30191,69th,Service toward Howard,827,Red,30191,Howard,1,2012-10-23 20:29:01-05,2012-10-23 20:36:01-05,0,1,0,0
386,30047,30047,79th,Service toward 95th,830,Red,30047,95th/Dan Ryan,5,2012-10-23 20:28:48-05,2012-10-23 20:39:48-05,0,0,0,0
387,30047,30047,79th,Service toward 95th,943,Red,30047,95th/Dan Ryan,5,2012-10-23 20:28:41-05,2012-10-23 20:42:41-05,0,0,0,0
388,30047,30047,79th,Service toward 95th,828,Red,30047,95th/Dan Ryan,5,2012-10-23 20:28:19-05,2012-10-23 20:47:19-05,0,0,0,0
389,30046,30046,79th,Service toward Howard,827,Red,30046,Howard,1,2012-10-23 20:29:00-05,2012-10-23 20:33:00-05,0,1,0,0
390,30276,30276,87th,Service toward 95th,830,Red,30276,95th/Dan Ryan,5,2012-10-23 20:28:48-05,2012-10-23 20:42:48-05,0,0,0,0
391,30276,30276,87th,Service toward 95th,943,Red,30276,95th/Dan Ryan,5,2012-10-23 20:28:41-05,2012-10-23 20:46:41-05,0,0,0,0
392,30275,30275,87th,Service toward Howard,827,Red,30275,Howard,1,2012-10-23 20:29:01-05,2012-10-23 20:30:01-05,1,1,0,0
393,30088,30088,95th/Dan Ryan,Service toward Howard,923,Red,30088,Howard,1,2012-10-23 20:29:00-05,2012-10-23 20:36:00-05,0,1,0,0
394,30274,30274,Addison,Service toward 95th,834,Red,30274,95th/Dan Ryan,5,2012-10-23 20:28:42-05,2012-10-23 20:30:42-05,0,0,0,0
395,30274,30274,Addison,Service toward 95th,845,Red,30274,95th/Dan Ryan,5,2012-10-23 20:28:47-05,2012-10-23 20:38:47-05,0,0,0,0
396,30273,30273,Addison,Service toward Howard,920,Red,30273,Howard,1,2012-10-23 20:28:58-05,2012-10-23 20:30:58-05,0,0,0,0
397,30273,30273,Addison,Service toward Howard,921,Red,30273,Howard,1,2012-10-23 20:28:41-05,2012-10-23 20:33:41-05,0,0,0,0
398,30273,30273,Addison,Service toward Howard,931,Red,30273,Howard,1,2012-10-23 20:28:47-05,2012-10-23 20:34:47-05,0,0,0,0
399,30273,30273,Addison,Service toward Howard,825,Red,30273,Howard,1,2012-10-23 20:28:47-05,2012-10-23 20:38:47-05,0,0,0,0
400,30273,30273,Addison,Service toward Howard,932,Red,30273,Howard,1,2012-10-23 20:28:57-05,2012-10-23 20:43:57-05,0,0,0,0
